stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
5198,56850,עין חרוד איחוד, רחוב:716  עיר: הגלבוע רציף:   קומה:  ,32.564688,35.387129,0,,1829
5199,56851,צומת מולדת, רחוב:717  עיר: הגלבוע רציף:   קומה:  ,32.578320,35.398890,0,,1829
5200,56852,שניר/שוהם, רחוב:שניר 26 עיר: מעלות תרשיחא רציף:   קומה:  ,33.026102,35.274048,0,,1063
5201,56853,שוהם/שניר, רחוב:שניר 42 עיר: מעלות תרשיחא רציף:   קומה:  ,33.027935,35.274648,0,,1063
5202,56854,שוהם/ספיר, רחוב:שוהם  עיר: מעלות תרשיחא רציף:   קומה:  ,33.028601,35.275965,0,,1063
5203,56855,5105/5112, רחוב:5105  עיר: נצרת רציף:   קומה:  ,32.701804,35.292274,0,,7300
5205,56857,בית חולים איטלקי/רחוב 6004, רחוב:6004  עיר: נצרת רציף:   קומה:  ,32.705701,35.311622,0,,7300
5208,56860,7012/7015, רחוב:7012 34 עיר: נצרת רציף:   קומה:  ,32.713373,35.298162,0,,7300
5209,56861,רחוב 7106/כרם אל ג'מאל, רחוב:7106 25 עיר: נצרת רציף:   קומה:  ,32.712722,35.297720,0,,7300
5210,56862,7017/7106, רחוב:7106 3 עיר: נצרת רציף:   קומה:  ,32.710888,35.298305,0,,7300
5213,56865,חד נס 1, רחוב:כינור דוד  עיר: חד נס רציף:   קומה:  ,32.932531,35.636559,0,,4026
5214,56866,מסעף שעל, רחוב:978  עיר: גולן רציף:   קומה:  ,33.116759,35.728031,0,,10861
5215,56867,מסעף אבני איתן, רחוב:98  עיר: גולן רציף:   קומה:  ,32.812001,35.765326,0,,10836
5216,57001,ת. מרכזית טבריה/רציפים, רחוב:411  עיר: טבריה רציף:   קומה:  ,32.787514,35.536817,1,,6700
5217,57002,דרך גדוד ברק/הירדן, רחוב:גדוד ברק 1 עיר: טבריה רציף:   קומה:  ,32.788851,35.541709,0,,6700
5218,57003,דרך גדוד ברק/90, רחוב:גדוד ברק 10 עיר: טבריה רציף:   קומה:  ,32.792385,35.541614,0,,6700
5219,57004,דרך גדוד ברק/90, רחוב:גדוד ברק 22 עיר: טבריה רציף:   קומה:  ,32.796264,35.540343,0,,6700
5222,57007,צומת מגדל צפון, רחוב:90  עיר: מגדל רציף:   קומה:  ,32.836954,35.510386,0,,11053
5223,57008,קיבוץ גנוסר 2, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.845789,35.516650,0,,11051
5224,57009,קיבוץ גנוסר 1, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.849369,35.519233,0,,11049
5225,57010,צומת חוקוק, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.867141,35.531275,0,,11045
5226,57011,צומת כרי דשא, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.870610,35.533839,0,,11043
5227,57012,צומת כפר נחום, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.876840,35.546386,0,,11041
5228,57013,הר האושר, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.888625,35.553132,0,,11038
5229,57014,צומת כורזים, רחוב:90  עיר: מבואות החרמון רציף:   קומה:  ,32.905142,35.548408,0,,11016
5231,57016,קיבוץ עמיעד, רחוב:90  עיר: הגליל העליון רציף:   קומה:  ,32.925492,35.543880,0,,11014
5232,57017,צומת מחנה יפתח, רחוב:  עיר: מבואות החרמון רציף:   קומה:  ,32.941523,35.547652,0,,1814
5233,57018,מושב אליפלט, רחוב:  עיר: מבואות החרמון רציף:   קומה:  ,32.946103,35.545332,0,,1814
5234,57019,מחנה פילון, רחוב:  עיר: מבואות החרמון רציף:   קומה:  ,32.955007,35.545651,0,,1814
5235,57020,צומת מחנה פילון, רחוב:יציאה לכביש 90  עיר: ראש פינה רציף:   קומה:  ,32.961183,35.544889,0,,10696
5237,57022,מחלף אליפלט, רחוב:89  עיר: מבואות החרמון רציף:   קומה:  ,32.953228,35.539754,0,,11340
5238,57023,דוד אלעזר/לח''י, רחוב:דוד אלעזר  עיר: צפת רציף:   קומה:  ,32.963282,35.489648,0,,8000
5240,57025,חיים וייצמן/הרצל, רחוב:חיים וייצמן  עיר: צפת רציף:   קומה:  ,32.957234,35.496737,0,,8000
5241,57026,חיים וייצמן/מ''ג יורדי הסירה, רחוב:חיים וייצמן  עיר: צפת רציף:   קומה:  ,32.957294,35.498349,0,,8000
5242,57027,אליהו פרומצ'נקו/יעקב לוי, רחוב:אליהו פרומצ'נקו  עיר: צפת רציף:   קומה:  ,32.960467,35.498143,0,,8000
5243,57028,פרומצנקו/רימוני, רחוב:אליהו פרומצ'נקו  עיר: צפת רציף:   קומה:  ,32.961903,35.498795,0,,8000
5244,57029,שוק/ז'בוטינסקי, רחוב:דרך ז'בוטינסקי  עיר: צפת רציף:   קומה:  ,32.968270,35.497669,0,,8000
5245,57031,מסעף חוקוק, רחוב:8077  עיר: עמק הירדן רציף:   קומה:  ,32.866804,35.530642,0,,11603
5246,57032,נחל עמוד, רחוב:8077  עיר: עמק הירדן רציף:   קומה:  ,32.868610,35.502541,0,,11604
5247,57033,קיבוץ חוקוק, רחוב:  עיר: חוקוק רציף:   קומה:  ,32.879412,35.496444,0,,374
5249,57036,קיבוץ גנוסר 4, רחוב:  עיר: גינוסר רציף:   קומה:  ,32.848148,35.522777,0,,262
5250,57037,צומת מגדל, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.836686,35.509124,0,,65
5251,57038,מעון נופים, רחוב:נוף כנרת  עיר: מגדל רציף:   קומה:  ,32.838441,35.508308,0,,65
5252,57039,מעון נופים, רחוב:נוף כנרת  עיר: מגדל רציף:   קומה:  ,32.838842,35.508322,0,,65
5253,57040,הזית/נוף הארבל, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.839121,35.505735,0,,65
5254,57041,נוף הארבל/התאנה, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.839205,35.502760,0,,65
5255,57042,נוף הארבל/התאנה, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.839407,35.501589,0,,65
5256,57043,נוף הארבל/השיזף, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.839398,35.499224,0,,65
5257,57044,נוף הארבל/הצאלון, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.837690,35.498359,0,,65
5258,57045,נוף הארבל/הצאלון, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.837929,35.498285,0,,65
5259,57046,נוף הארבל/האירוסים, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.835985,35.498132,0,,65
5260,57047,נוף הארבל/האירוסים, רחוב:נוף הארבל  עיר: מגדל רציף:   קומה:  ,32.836077,35.498067,0,,65
5261,57048,מסעף ואדי חמאם, רחוב:  עיר: מגדל רציף:   קומה:  ,32.830702,35.501583,0,,65
5263,57050,חמאם/יציאה, רחוב:  עיר: חמאם רציף:   קומה:  ,32.827986,35.490824,0,,993
5264,57051,מסעף ואדי חמאם, רחוב:807  עיר: מגדל רציף:   קומה:  ,32.831198,35.501569,0,,11611
5265,57052,מסעף מגדל, רחוב:807  עיר: מגדל רציף:   קומה:  ,32.826791,35.511476,0,,11609
5266,57053,הגליל-גן העיר, רחוב:הגליל 1 עיר: טבריה רציף:   קומה:  ,32.787447,35.539587,0,,6700
5267,57057,הגליל/הקישון, רחוב:הגליל 17 עיר: טבריה רציף:   קומה:  ,32.785308,35.540584,0,,6700
5268,57058,הגליל/פנורמה, רחוב:הגליל 25 עיר: טבריה רציף:   קומה:  ,32.784722,35.541232,0,,6700
5269,57059,חוף גיא, רחוב:שדרות אליעזר קפלן  עיר: טבריה רציף:   קומה:  ,32.779308,35.544322,0,,6700
5270,57060,חוף גנים, רחוב:שדרות אליעזר קפלן  עיר: טבריה רציף:   קומה:  ,32.774498,35.545926,0,,6700
5271,57061,חמי טבריה, רחוב:שדרות אליעזר קפלן  עיר: טבריה רציף:   קומה:  ,32.768663,35.548481,0,,6700
5272,57062,כביש 90/שדרות אליעזר קפלן, רחוב:90  עיר: טבריה רציף:   קומה:  ,32.766607,35.551193,0,,11061
5274,57064,מושבת כנרת, רחוב:90  עיר: כינרת מושבה רציף:   קומה:  ,32.722348,35.568915,0,,11083
5275,57065,אחוזת אוהלו, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.714424,35.572870,0,,11077
5276,57066,בית ספר אזורי בית ירח, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.712391,35.572938,0,,11079
5277,57067,'דגניה א, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.710184,35.576163,0,,11080
5278,57068,'דגניה ב, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.708052,35.579052,0,,11074
5279,57069,מועצה אזורית עמק הירדן, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.705269,35.584118,0,,11069
5280,57070,מפעלים אזוריים צמח, רחוב:90  עיר: מפעלים אזוריים צמח רציף:   קומה:  ,32.702057,35.586707,0,,11058
5281,57071,מסעף בית זרע, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.687523,35.582962,0,,11086
5282,57072,מסעף שער הגולן, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.683344,35.581800,0,,11088
5283,57073,צומת אפיקים, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.678711,35.580494,0,,11090
5284,57074,מסעף אשדות יעקב מאוחד, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.664900,35.576717,0,,11092
5285,57075,קבר רבי מאיר, רחוב:90  עיר: טבריה רציף:   קומה:  ,32.767482,35.550315,0,,6700
5286,57076,אשדות יעקב/90, רחוב:90  עיר: עמק הירדן רציף:   קומה:  ,32.658505,35.574050,0,,11095
5287,57077,צומת מנחמיה, רחוב:90  עיר: מנחמיה רציף:   קומה:  ,32.653361,35.567918,0,,11097
5288,57078,מסעף גשר, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.618053,35.552670,0,,11099
5289,57079,מסעף קיבוץ נווה אור, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.585400,35.546979,0,,11103
5290,57080,מסעף מושב ירדנה, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.567581,35.549301,0,,11107
5291,57081,צומת ירדנה/בית יוסף, רחוב:90  עיר: בית יוסף רציף:   קומה:  ,32.564172,35.548606,0,,11109
5292,57082,אולפנה, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.561061,35.546026,0,,11111
5293,57083,בית יוסף, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.556909,35.542734,0,,11113
5294,57084,מסעף חמדיה, רחוב:90  עיר: עמק המעיינות רציף:   קומה:  ,32.514526,35.522132,0,,11117
5295,57085,צומת שאן, רחוב:71/90  עיר: עמק המעיינות רציף:   קומה:  ,32.506908,35.518789,0,,11978
5296,57086,מסוף בית שאן, רחוב:  עיר: בית שאן רציף:   קומה:  ,32.498265,35.504554,1,,9200
5297,57087,מושב ירדנה, רחוב:  עיר: ירדנה רציף:   קומה:  ,32.566953,35.559971,0,,2026
5298,57088,מושב ירדנה, רחוב:  עיר: ירדנה רציף:   קומה:  ,32.567276,35.562938,0,,2026
5299,57089,מושב ירדנה, רחוב:  עיר: ירדנה רציף:   קומה:  ,32.565013,35.564922,0,,2026
5300,57091,מתנ''ס, רחוב:  עיר: ירדנה רציף:   קומה:  ,32.562546,35.559994,0,,2026
5301,57096,מוזיאון, רחוב:767  עיר: כינרת מושבה רציף:   קומה:  ,32.721517,35.567316,0,,11861
5302,57097,מסעף מושבת כנרת, רחוב:767  עיר: כינרת מושבה רציף:   קומה:  ,32.718670,35.560517,0,,11865
5303,57098,מסעף אלומות, רחוב:767  עיר: יבנאל רציף:   קומה:  ,32.713909,35.545831,0,,11867
5304,57102,מגרש ספורט, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.709695,35.501421,0,,46
5305,57105,מסעף סמדר, רחוב:767  עיר: יבנאל רציף:   קומה:  ,32.714887,35.493979,0,,11869
5306,57108,ספסאף/אדיגה, רחוב:ספסאף  עיר: כפר כמא רציף:   קומה:  ,32.722196,35.444308,0,,508
5307,57114,ויצמן/המשור, רחוב:הנשיא וייצמן  עיר: טבריה רציף:   קומה:  ,32.780171,35.502854,0,,6700
5308,57115,הנשיא וייצמן/המברג, רחוב:הנשיא וייצמן  עיר: טבריה רציף:   קומה:  ,32.779985,35.499877,0,,6700
5309,57116,מסעף אזור תעשיה, רחוב:768  עיר: טבריה רציף:   קומה:  ,32.779075,35.498646,0,,11843
5310,57117,בית חולים פוריה, רחוב:768  עיר: עמק הירדן רציף:   קומה:  ,32.751998,35.537857,0,,11846
5311,57118,בית עלמין הזורעים, רחוב:768  עיר: טבריה רציף:   קומה:  ,32.766755,35.524687,0,,11853
5312,57119,אלחדיף/הופיין, רחוב:אלחדיף 27 עיר: טבריה רציף:   קומה:  ,32.790757,35.538987,0,,6700
5313,57120,אלחדיף/טבור הארץ, רחוב:אלחדיף 9 עיר: טבריה רציף:   קומה:  ,32.792771,35.534888,0,,6700
